'Industrialisation PHP chez Lamaisondevalerie.fr', '24-11-2011 10:15', 'Auditorium', 'Industrialisation;Experience', 'Conférence'
'Traitement XML de pointe avec PHP et XQuery', '24-11-2011 10:15', 'Salle de conférence 2', 'XML;XQuery', 'Conférence'
'Tenue en charge d\'un site média', '24/11/2011 11:15', 'Auditorium', 'Optimisation', 'Conférence'
'Retour d\'expérience sur XHProf', '24/11/2011 11:15', 'Salle de conférence 1', 'Experience;XHRProf', 'Conférence'
'Optimiser la performance business de votre site avec l\'A/B Testing', '24/11/2011 12:00', 'Auditorium','Optimisation;Marketing', 'Conférence'
'Services asynchrones et multilangages avec Mongrel2 et ZeroMQ', '24/11/2011 12:00', 'Salle de conférence 1','Mongrel2;ZeroMQ;Asynchrone', 'Conférence'
'phpcloud.com: Be a PHP Hero!', '24/11/2011 14:00', 'Auditorium', 'Cloud;Industrialisation', 'Conférence'
'Hoa, un ensemble de bibliothèques', '24/11/2011 14:00', 'Salle de conférence 1','Framework', 'Conférence'
'Les CMS basé sur framework en environnement professionel', '24/11/2011 14:45', 'Auditorium','CMS;Framework', 'Conférence'
'Mock, Stubs et Tests', '24/11/2011 14:45', 'Salle de conférence 1','Tests Unitaires;Industrialisation', 'Conférence'
'Performances côté client', '24/11/2011 15:45', 'Auditorium','Optimisation', 'Conférence'
'Distribution de contenu scalable : le multicanal avec REST & eZ Publish', '24/11/2011 15:45', 'Salle de conférence 1','REST;Optimisation', 'Conférence'
'Atoum, le framework de tests unitaires simple, moderne et intuitif pour PHP 5.3+', '24/11/2011 15:45', 'Salle de conférence 2','Framework;Tests Unitaires;Industrialisation', 'Conférence'
'Drupal et Varnish, une histoire qui marche', '24/11/2011 16:30', 'Auditorium','Drupal;Optimisation;Varnish', 'Conférence'
'Pourquoi on a abandonné Magento au profit d\'un dévéloppement spécifique', '24/11/2011 16:30', 'Salle de conférence 1','Experience', 'Conférence'
'Êtes-vous prêts pour le succès ?', '25/11/2011 09:15', 'Auditorium','Optimisation', 'Conférence'
'Comment développer et déployer une application PHP maintenable ?', '25/11/2011 10:00', 'Auditorium', 'Industrialisation', 'Conférence'
'Suivi qualité avec Sonar pour PHP', '25/11/2011 10:00', 'Salle de conférence 1','Industrialisation', 'Conférence'
'Ma première extension PHP', '25/11/2011 10:00', 'Salle de conférence 2','Optimisation', 'Conférence'
'Profiling PHP Applications', '25/11/2011 11:00', 'Auditorium','Optimisation,XDebug', 'Conférence'
'Améliorez votre productivité avec Symfony2 !', '25/11/2011 11:00', 'Salle de conférence 1','Framework', 'Conférence'
'Sécurité des applications PHP', '25/11/2011 11:45', 'Auditorium', 'Securité', 'Conférence'
'Cheyenne : une alternative pour répondre en PHP ?', '25/11/2011 11:45', 'Salle de conférence 1','', 'Conférence'
'Présentation de l\'éditeur en ligne de la documentation PHP', '25/11/2011 11:45', 'Salle de conférence 2','Documentation', 'Conférence'
'Caching and Tuning fun for high scalability', '25/11/2011 14:00', 'Auditorium','Optimisation', 'Conférence'
'Zend Framework 2: state of the art', '25/11/2011 14:00 - 14:45', 'Salle de conférence 1','Framework', 'Conférence'
'dev et admin sys : une cohabitation simplifiée', '25/11/2011 14:45', 'Auditorium','Experience', 'Conférence'
'Concevoir de puissantes applications VoIP grâce à PHP', '25/11/2011 14:45', 'Salle de conférence 1','Experience;VoiP', 'Conférence'
'Les outils avancés du développeur PHP', '25/11/2011 14:45', 'Salle de conférence 2','Outils', 'Conférence'
'Magento - Intégration continue, tests et automatisation', '25/11/2011 15:45', 'Auditorium','Tests Unitaires;Industrialisation', 'Conférence'
'Keynote de clôture', '25/11/2011 16:30', 'Auditorium','','Keynote'